set,phase,ms,type
backburner,after-render,2022.348,cumulative
backburner,paint,0.029,self
backburner,paint,2022.377,cumulative
backburner,load,527.371,self
backburner,load,527.371,cumulative
backburner,boot,197.445,self
backburner,boot,724.816,cumulative
backburner,transition,236.333,self
backburner,transition,961.149,cumulative
backburner,render,591.964,self
backburner,render,1553.113,cumulative
backburner,lazy-render,431.598,self
backburner,lazy-render,1984.711,cumulative
backburner,after-render,2.006,self
backburner,after-render,1986.717,cumulative
backburner,paint,0.032,self
backburner,paint,1986.749,cumulative
backburner,load,540.118,self
backburner,load,540.118,cumulative
backburner,boot,204.065,self
backburner,boot,744.183,cumulative
backburner,transition,245.93,self
backburner,transition,990.113,cumulative
backburner,render,602.375,self
backburner,render,1592.488,cumulative
backburner,lazy-render,453.307,self
backburner,lazy-render,2045.795,cumulative
backburner,after-render,2.401,self
backburner,after-render,2048.196,cumulative
backburner,paint,0.035,self
backburner,paint,2048.231,cumulative
backburner,load,531.588,self
backburner,load,531.588,cumulative
backburner,boot,196.91,self
backburner,boot,728.498,cumulative
backburner,transition,252.52,self
backburner,transition,981.018,cumulative
backburner,render,611.192,self
backburner,render,1592.21,cumulative
backburner,lazy-render,449.577,self
backburner,lazy-render,2041.787,cumulative
backburner,after-render,2.277,self
backburner,after-render,2044.064,cumulative
backburner,paint,0.034,self
backburner,paint,2044.098,cumulative
backburner,load,534.2,self
backburner,load,534.2,cumulative
backburner,boot,200.217,self
backburner,boot,734.417,cumulative
backburner,transition,231.392,self
backburner,transition,965.809,cumulative
backburner,render,594.382,self
backburner,render,1560.191,cumulative
backburner,lazy-render,435.432,self
backburner,lazy-render,1995.623,cumulative
backburner,after-render,2.39,self
backburner,after-render,1998.013,cumulative
backburner,paint,0.031,self
backburner,paint,1998.044,cumulative
backburner,load,533.639,self
backburner,load,533.639,cumulative
backburner,boot,196.213,self
backburner,boot,729.852,cumulative
backburner,transition,240.127,self
backburner,transition,969.979,cumulative
backburner,render,601.315,self
backburner,render,1571.294,cumulative
backburner,lazy-render,436.893,self
backburner,lazy-render,2008.187,cumulative
backburner,after-render,2.008,self
backburner,after-render,2010.195,cumulative
backburner,paint,0.03,self
backburner,paint,2010.225,cumulative
backburner,load,532.628,self
backburner,load,532.628,cumulative
backburner,boot,208.829,self
backburner,boot,741.457,cumulative
backburner,transition,254.231,self
backburner,transition,995.688,cumulative
backburner,render,569.019,self
backburner,render,1564.707,cumulative
backburner,lazy-render,446.535,self
backburner,lazy-render,2011.242,cumulative
backburner,after-render,1.968,self
backburner,after-render,2013.21,cumulative
backburner,paint,0.029,self
backburner,paint,2013.239,cumulative
backburner,load,533.179,self
backburner,load,533.179,cumulative
backburner,boot,197.171,self
backburner,boot,730.35,cumulative
backburner,transition,239.134,self
backburner,transition,969.484,cumulative
backburner,render,597.635,self
backburner,render,1567.119,cumulative
backburner,lazy-render,438.34,self
backburner,lazy-render,2005.459,cumulative
backburner,after-render,2.106,self
backburner,after-render,2007.565,cumulative
backburner,paint,0.03,self
backburner,paint,2007.595,cumulative
backburner,load,537.986,self
backburner,load,537.986,cumulative
backburner,boot,199.948,self
backburner,boot,737.934,cumulative
backburner,transition,233.664,self
backburner,transition,971.598,cumulative
backburner,render,629.107,self
backburner,render,1600.705,cumulative
backburner,lazy-render,424.082,self
backburner,lazy-render,2024.787,cumulative
backburner,after-render,2.038,self
backburner,after-render,2026.825,cumulative
backburner,paint,0.031,self
backburner,paint,2026.856,cumulative
backburner,load,518.645,self
backburner,load,518.645,cumulative
backburner,boot,197.307,self
backburner,boot,715.952,cumulative
backburner,transition,247.422,self
backburner,transition,963.374,cumulative
backburner,render,581.319,self
backburner,render,1544.693,cumulative
backburner,lazy-render,431.551,self
backburner,lazy-render,1976.244,cumulative
backburner,after-render,2.013,self
backburner,after-render,1978.257,cumulative
backburner,paint,0.031,self
backburner,paint,1978.288,cumulative
backburner,load,522.151,self
backburner,load,522.151,cumulative
backburner,boot,200.972,self
backburner,boot,723.123,cumulative
backburner,transition,232.569,self
backburner,transition,955.692,cumulative
backburner,render,610.814,self
backburner,render,1566.506,cumulative
backburner,lazy-render,431.463,self
backburner,lazy-render,1997.969,cumulative
backburner,after-render,2.169,self
backburner,after-render,2000.138,cumulative
backburner,paint,0.03,self
backburner,paint,2000.168,cumulative
backburner,load,517.993,self
backburner,load,517.993,cumulative
backburner,boot,202.197,self
backburner,boot,720.19,cumulative
backburner,transition,231.619,self
backburner,transition,951.809,cumulative
backburner,render,596.399,self
backburner,render,1548.208,cumulative
backburner,lazy-render,427.271,self
backburner,lazy-render,1975.479,cumulative
backburner,after-render,1.958,self
backburner,after-render,1977.437,cumulative
backburner,paint,0.031,self
backburner,paint,1977.468,cumulative
backburner,load,529.663,self
backburner,load,529.663,cumulative
backburner,boot,198.063,self
backburner,boot,727.726,cumulative
backburner,transition,238.482,self
backburner,transition,966.208,cumulative
backburner,render,703.225,self
backburner,render,1669.433,cumulative
backburner,lazy-render,452.511,self
backburner,lazy-render,2121.944,cumulative
backburner,after-render,1.979,self
backburner,after-render,2123.923,cumulative
backburner,paint,0.03,self
backburner,paint,2123.953,cumulative
backburner,load,515.942,self
backburner,load,515.942,cumulative
backburner,boot,192.509,self
backburner,boot,708.451,cumulative
backburner,transition,237.026,self
backburner,transition,945.477,cumulative
backburner,render,588.212,self
backburner,render,1533.689,cumulative
backburner,lazy-render,444.982,self
backburner,lazy-render,1978.671,cumulative
backburner,after-render,2.253,self
backburner,after-render,1980.924,cumulative
backburner,paint,0.03,self
backburner,paint,1980.954,cumulative
backburner,load,519.499,self
backburner,load,519.499,cumulative
backburner,boot,209.919,self
backburner,boot,729.418,cumulative
backburner,transition,245.308,self
backburner,transition,974.726,cumulative
backburner,render,624.702,self
backburner,render,1599.428,cumulative
backburner,lazy-render,431.066,self
backburner,lazy-render,2030.494,cumulative
backburner,after-render,2.251,self
backburner,after-render,2032.745,cumulative
backburner,paint,0.032,self
backburner,paint,2032.777,cumulative
backburner,load,517.137,self
backburner,load,517.137,cumulative
backburner,boot,199.53,self
backburner,boot,716.667,cumulative
backburner,transition,239.543,self
backburner,transition,956.21,cumulative
backburner,render,602.094,self
backburner,render,1558.304,cumulative
backburner,lazy-render,431.067,self
backburner,lazy-render,1989.371,cumulative
backburner,after-render,2.308,self
backburner,after-render,1991.679,cumulative
backburner,paint,0.033,self
backburner,paint,1991.712,cumulative
backburner,load,530.635,self
backburner,load,530.635,cumulative
backburner,boot,205.026,self
backburner,boot,735.661,cumulative
backburner,transition,232.574,self
backburner,transition,968.235,cumulative
backburner,render,589.453,self
backburner,render,1557.688,cumulative
backburner,lazy-render,425.935,self
backburner,lazy-render,1983.623,cumulative
backburner,after-render,2.267,self
backburner,after-render,1985.89,cumulative
backburner,paint,0.033,self
backburner,paint,1985.923,cumulative
backburner,load,523.782,self
backburner,load,523.782,cumulative
backburner,boot,195.534,self
backburner,boot,719.316,cumulative
backburner,transition,242.296,self
backburner,transition,961.612,cumulative
backburner,render,596.233,self
backburner,render,1557.845,cumulative
backburner,lazy-render,433.613,self
backburner,lazy-render,1991.458,cumulative
backburner,after-render,2.024,self
backburner,after-render,1993.482,cumulative
backburner,paint,0.031,self
backburner,paint,1993.513,cumulative
backburner,load,521.264,self
backburner,load,521.264,cumulative
backburner,boot,203.646,self
backburner,boot,724.91,cumulative
backburner,transition,238.719,self
backburner,transition,963.629,cumulative
backburner,render,588.809,self
backburner,render,1552.438,cumulative
backburner,lazy-render,433.092,self
backburner,lazy-render,1985.53,cumulative
backburner,after-render,2.217,self
backburner,after-render,1987.747,cumulative
backburner,paint,0.033,self
backburner,paint,1987.78,cumulative
backburner,load,520.39,self
backburner,load,520.39,cumulative
backburner,boot,201.288,self
backburner,boot,721.678,cumulative
backburner,transition,267.493,self
backburner,transition,989.171,cumulative
backburner,render,589.545,self
backburner,render,1578.716,cumulative
backburner,lazy-render,426.077,self
backburner,lazy-render,2004.793,cumulative
backburner,after-render,2.297,self
backburner,after-render,2007.09,cumulative
backburner,paint,0.033,self
backburner,paint,2007.123,cumulative
backburner,load,531.274,self
backburner,load,531.274,cumulative
backburner,boot,198.512,self
backburner,boot,729.786,cumulative
backburner,transition,234.603,self
backburner,transition,964.389,cumulative
backburner,render,584.638,self
backburner,render,1549.027,cumulative
backburner,lazy-render,425.376,self
backburner,lazy-render,1974.403,cumulative
backburner,after-render,2.228,self
backburner,after-render,1976.631,cumulative
backburner,paint,0.029,self
backburner,paint,1976.66,cumulative
backburner,load,525.532,self
backburner,load,525.532,cumulative
backburner,boot,197.73,self
backburner,boot,723.262,cumulative
backburner,transition,232.247,self
backburner,transition,955.509,cumulative
backburner,render,588.54,self
backburner,render,1544.049,cumulative
backburner,lazy-render,437.911,self
backburner,lazy-render,1981.96,cumulative
backburner,after-render,2.023,self
backburner,after-render,1983.983,cumulative
backburner,paint,0.031,self
backburner,paint,1984.014,cumulative
backburner,load,535.292,self
backburner,load,535.292,cumulative
backburner,boot,207.329,self
backburner,boot,742.621,cumulative
backburner,transition,238.574,self
backburner,transition,981.195,cumulative
backburner,render,594.583,self
backburner,render,1575.778,cumulative
backburner,lazy-render,444.523,self
backburner,lazy-render,2020.301,cumulative
backburner,after-render,2.032,self
backburner,after-render,2022.333,cumulative
backburner,paint,0.03,self
backburner,paint,2022.363,cumulative
backburner,load,534.631,self
backburner,load,534.631,cumulative
backburner,boot,196.707,self
backburner,boot,731.338,cumulative
backburner,transition,240.358,self
backburner,transition,971.696,cumulative
backburner,render,587.031,self
backburner,render,1558.727,cumulative
backburner,lazy-render,437.302,self
backburner,lazy-render,1996.029,cumulative
backburner,after-render,1.982,self
backburner,after-render,1998.011,cumulative
backburner,paint,0.034,self
backburner,paint,1998.045,cumulative
backburner,load,526.056,self
backburner,load,526.056,cumulative
backburner,boot,198.485,self
backburner,boot,724.541,cumulative
backburner,transition,231.17,self
backburner,transition,955.711,cumulative
backburner,render,607.541,self
backburner,render,1563.252,cumulative
backburner,lazy-render,431.17,self
backburner,lazy-render,1994.422,cumulative
backburner,after-render,2.374,self
backburner,after-render,1996.796,cumulative
backburner,paint,0.032,self
backburner,paint,1996.828,cumulative
backburner,load,522.892,self
backburner,load,522.892,cumulative
backburner,boot,202.087,self
backburner,boot,724.979,cumulative
backburner,transition,248.899,self
backburner,transition,973.878,cumulative
backburner,render,622.363,self
backburner,render,1596.241,cumulative
backburner,lazy-render,431.245,self
backburner,lazy-render,2027.486,cumulative
backburner,after-render,2.746,self
backburner,after-render,2030.232,cumulative
backburner,paint,0.078,self
backburner,paint,2030.31,cumulative
backburner,load,527.265,self
backburner,load,527.265,cumulative
backburner,boot,193.268,self
backburner,boot,720.533,cumulative
backburner,transition,242.991,self
backburner,transition,963.524,cumulative
backburner,render,598.609,self
backburner,render,1562.133,cumulative
backburner,lazy-render,430.518,self
backburner,lazy-render,1992.651,cumulative
backburner,after-render,2.569,self
backburner,after-render,1995.22,cumulative
backburner,paint,0.033,self
backburner,paint,1995.253,cumulative
backburner,load,522.006,self
backburner,load,522.006,cumulative
backburner,boot,212.374,self
backburner,boot,734.38,cumulative
backburner,transition,238.471,self
backburner,transition,972.851,cumulative
backburner,render,584.388,self
backburner,render,1557.239,cumulative
backburner,lazy-render,438.046,self
backburner,lazy-render,1995.285,cumulative
backburner,after-render,1.971,self
backburner,after-render,1997.256,cumulative
backburner,paint,0.03,self
backburner,paint,1997.286,cumulative
backburner,load,631.3,self
backburner,load,631.3,cumulative
backburner,boot,196.174,self
backburner,boot,827.474,cumulative
backburner,transition,248.443,self
backburner,transition,1075.917,cumulative
backburner,render,585.232,self
backburner,render,1661.149,cumulative
backburner,lazy-render,427.385,self
backburner,lazy-render,2088.534,cumulative
backburner,after-render,2.183,self
backburner,after-render,2090.717,cumulative
backburner,paint,0.033,self
backburner,paint,2090.75,cumulative
backburner,load,532.918,self
backburner,load,532.918,cumulative
backburner,boot,193.334,self
backburner,boot,726.252,cumulative
backburner,transition,249.832,self
backburner,transition,976.084,cumulative
backburner,render,622.569,self
backburner,render,1598.653,cumulative
backburner,lazy-render,430.167,self
backburner,lazy-render,2028.82,cumulative
backburner,after-render,1.989,self
backburner,after-render,2030.809,cumulative
backburner,paint,0.031,self
backburner,paint,2030.84,cumulative
backburner,load,555.095,self
backburner,load,555.095,cumulative
backburner,boot,202.027,self
backburner,boot,757.122,cumulative
backburner,transition,242.047,self
backburner,transition,999.169,cumulative
backburner,render,584.204,self
backburner,render,1583.373,cumulative
backburner,lazy-render,440.525,self
backburner,lazy-render,2023.898,cumulative
backburner,after-render,1.954,self
backburner,after-render,2025.852,cumulative
backburner,paint,0.035,self
backburner,paint,2025.887,cumulative
backburner,load,523.04,self
backburner,load,523.04,cumulative
backburner,boot,201.932,self
backburner,boot,724.972,cumulative
backburner,transition,237.348,self
backburner,transition,962.32,cumulative
backburner,render,598.219,self
backburner,render,1560.539,cumulative
backburner,lazy-render,421.558,self
backburner,lazy-render,1982.097,cumulative
backburner,after-render,3.037,self
backburner,after-render,1985.134,cumulative
backburner,paint,0.046,self
backburner,paint,1985.18,cumulative
backburner,load,523.886,self
backburner,load,523.886,cumulative
backburner,boot,199.821,self
backburner,boot,723.707,cumulative
backburner,transition,255.578,self
backburner,transition,979.285,cumulative
backburner,render,614.73,self
backburner,render,1594.015,cumulative
backburner,lazy-render,437.891,self
backburner,lazy-render,2031.906,cumulative
backburner,after-render,2.473,self
backburner,after-render,2034.379,cumulative
backburner,paint,0.033,self
backburner,paint,2034.412,cumulative
backburner,load,533.497,self
backburner,load,533.497,cumulative
backburner,boot,206.761,self
backburner,boot,740.258,cumulative
backburner,transition,234.569,self
backburner,transition,974.827,cumulative
backburner,render,605.749,self
backburner,render,1580.576,cumulative
backburner,lazy-render,578.143,self
backburner,lazy-render,2158.719,cumulative
backburner,after-render,2.265,self
backburner,after-render,2160.984,cumulative
backburner,paint,0.035,self
backburner,paint,2161.019,cumulative
backburner,load,529.276,self
backburner,load,529.276,cumulative
backburner,boot,204.221,self
backburner,boot,733.497,cumulative
backburner,transition,246.707,self
backburner,transition,980.204,cumulative
backburner,render,578.393,self
backburner,render,1558.597,cumulative
backburner,lazy-render,442.726,self
backburner,lazy-render,2001.323,cumulative
backburner,after-render,2.183,self
backburner,after-render,2003.506,cumulative
backburner,paint,0.031,self
backburner,paint,2003.537,cumulative
backburner,load,522.553,self
backburner,load,522.553,cumulative
backburner,boot,198.836,self
backburner,boot,721.389,cumulative
backburner,transition,233.784,self
backburner,transition,955.173,cumulative
backburner,render,594.211,self
backburner,render,1549.384,cumulative
backburner,lazy-render,429.857,self
backburner,lazy-render,1979.241,cumulative
backburner,after-render,2.317,self
backburner,after-render,1981.558,cumulative
backburner,paint,0.031,self
backburner,paint,1981.589,cumulative
backburner,load,532.09,self
backburner,load,532.09,cumulative
backburner,boot,206.565,self
backburner,boot,738.655,cumulative
backburner,transition,247.399,self
backburner,transition,986.054,cumulative
backburner,render,608.989,self
backburner,render,1595.043,cumulative
backburner,lazy-render,433.181,self
backburner,lazy-render,2028.224,cumulative
backburner,after-render,2.236,self
backburner,after-render,2030.46,cumulative
backburner,paint,0.033,self
backburner,paint,2030.493,cumulative
backburner,load,518.679,self
backburner,load,518.679,cumulative
backburner,boot,201.833,self
backburner,boot,720.512,cumulative
backburner,transition,249.936,self
backburner,transition,970.448,cumulative
backburner,render,602.607,self
backburner,render,1573.055,cumulative
backburner,lazy-render,449.145,self
backburner,lazy-render,2022.2,cumulative
backburner,after-render,2.38,self
backburner,after-render,2024.58,cumulative
backburner,paint,0.031,self
backburner,paint,2024.611,cumulative
backburner,load,535,self
backburner,load,535,cumulative
backburner,boot,199.194,self
backburner,boot,734.194,cumulative
backburner,transition,238.642,self
backburner,transition,972.836,cumulative
backburner,render,585.668,self
backburner,render,1558.504,cumulative
backburner,lazy-render,434.125,self
backburner,lazy-render,1992.629,cumulative
backburner,after-render,1.92,self
backburner,after-render,1994.549,cumulative
backburner,paint,0.029,self
backburner,paint,1994.578,cumulative
backburner,load,529.78,self
backburner,load,529.78,cumulative
backburner,boot,203.604,self
backburner,boot,733.384,cumulative
backburner,transition,239.189,self
backburner,transition,972.573,cumulative
backburner,render,586.289,self
backburner,render,1558.862,cumulative
backburner,lazy-render,458.398,self
backburner,lazy-render,2017.26,cumulative
backburner,after-render,1.933,self
backburner,after-render,2019.193,cumulative
backburner,paint,0.03,self
backburner,paint,2019.223,cumulative
backburner,load,518.345,self
backburner,load,518.345,cumulative
backburner,boot,204.595,self
backburner,boot,722.94,cumulative
backburner,transition,236.627,self
backburner,transition,959.567,cumulative
backburner,render,597.81,self
backburner,render,1557.377,cumulative
backburner,lazy-render,440.752,self
backburner,lazy-render,1998.129,cumulative
backburner,after-render,2.175,self
backburner,after-render,2000.304,cumulative
backburner,paint,0.03,self
backburner,paint,2000.334,cumulative
backburner,load,526.41,self
backburner,load,526.41,cumulative
backburner,boot,203.493,self
backburner,boot,729.903,cumulative
backburner,transition,235.098,self
backburner,transition,965.001,cumulative
backburner,render,590.683,self
backburner,render,1555.684,cumulative
backburner,lazy-render,431.314,self
backburner,lazy-render,1986.998,cumulative
backburner,after-render,2.172,self
backburner,after-render,1989.17,cumulative
backburner,paint,0.035,self
backburner,paint,1989.205,cumulative
control,load,532.442,self
control,load,532.442,cumulative
control,boot,192.787,self
control,boot,725.229,cumulative
control,transition,266.639,self
control,transition,991.868,cumulative
control,render,605.57,self
control,render,1597.438,cumulative
control,lazy-render,431.806,self
control,lazy-render,2029.244,cumulative
control,after-render,1.449,self
control,after-render,2030.693,cumulative
control,paint,0.035,self
control,paint,2030.728,cumulative
control,load,524.212,self
control,load,524.212,cumulative
control,boot,193.048,self
control,boot,717.26,cumulative
control,transition,251.869,self
control,transition,969.129,cumulative
control,render,597.035,self
control,render,1566.164,cumulative
control,lazy-render,410.378,self
control,lazy-render,1976.542,cumulative
control,after-render,2.001,self
control,after-render,1978.543,cumulative
control,paint,0.03,self
control,paint,1978.573,cumulative
control,load,536.258,self
control,load,536.258,cumulative
control,boot,201.82,self
control,boot,738.078,cumulative
control,transition,237.723,self
control,transition,975.801,cumulative
control,render,606.695,self
control,render,1582.496,cumulative
control,lazy-render,410.595,self
control,lazy-render,1993.091,cumulative
control,after-render,1.959,self
control,after-render,1995.05,cumulative
control,paint,0.031,self
control,paint,1995.081,cumulative
control,load,522.04,self
control,load,522.04,cumulative
control,boot,197.819,self
control,boot,719.859,cumulative
control,transition,234.433,self
control,transition,954.292,cumulative
control,render,580.199,self
control,render,1534.491,cumulative
control,lazy-render,401.865,self
control,lazy-render,1936.356,cumulative
control,after-render,1.94,self
control,after-render,1938.296,cumulative
control,paint,0.032,self
control,paint,1938.328,cumulative
control,load,517.059,self
control,load,517.059,cumulative
control,boot,197.378,self
control,boot,714.437,cumulative
control,transition,252.039,self
control,transition,966.476,cumulative
control,render,582.669,self
control,render,1549.145,cumulative
control,lazy-render,428.562,self
control,lazy-render,1977.707,cumulative
control,after-render,2.888,self
control,after-render,1980.595,cumulative
control,paint,0.037,self
control,paint,1980.632,cumulative
control,load,525.219,self
control,load,525.219,cumulative
control,boot,198.936,self
control,boot,724.155,cumulative
control,transition,285.991,self
control,transition,1010.146,cumulative
control,render,624.016,self
control,render,1634.162,cumulative
control,lazy-render,432.23,self
control,lazy-render,2066.392,cumulative
control,after-render,1.801,self
control,after-render,2068.193,cumulative
control,paint,0.031,self
control,paint,2068.224,cumulative
control,load,529.522,self
control,load,529.522,cumulative
control,boot,201.735,self
control,boot,731.257,cumulative
control,transition,237.399,self
control,transition,968.656,cumulative
control,render,609.141,self
control,render,1577.797,cumulative
control,lazy-render,432.726,self
control,lazy-render,2010.523,cumulative
control,after-render,2.16,self
control,after-render,2012.683,cumulative
control,paint,0.03,self
control,paint,2012.713,cumulative
control,load,515.754,self
control,load,515.754,cumulative
control,boot,194.199,self
control,boot,709.953,cumulative
control,transition,265.795,self
control,transition,975.748,cumulative
control,render,580.215,self
control,render,1555.963,cumulative
control,lazy-render,442.981,self
control,lazy-render,1998.944,cumulative
control,after-render,2.268,self
control,after-render,2001.212,cumulative
control,paint,0.038,self
control,paint,2001.25,cumulative
control,load,542.644,self
control,load,542.644,cumulative
control,boot,204.684,self
control,boot,747.328,cumulative
control,transition,234.696,self
control,transition,982.024,cumulative
control,render,597.307,self
control,render,1579.331,cumulative
control,lazy-render,417.197,self
control,lazy-render,1996.528,cumulative
control,after-render,1.968,self
control,after-render,1998.496,cumulative
control,paint,0.033,self
control,paint,1998.529,cumulative
control,load,530.566,self
control,load,530.566,cumulative
control,boot,197.047,self
control,boot,727.613,cumulative
control,transition,234.265,self
control,transition,961.878,cumulative
control,render,707.116,self
control,render,1668.994,cumulative
control,lazy-render,415.371,self
control,lazy-render,2084.365,cumulative
control,after-render,3.072,self
control,after-render,2087.437,cumulative
control,paint,0.037,self
control,paint,2087.474,cumulative
control,load,544.652,self
control,load,544.652,cumulative
control,boot,209.84,self
control,boot,754.492,cumulative
control,transition,236.681,self
control,transition,991.173,cumulative
control,render,587.932,self
control,render,1579.105,cumulative
control,lazy-render,422.207,self
control,lazy-render,2001.312,cumulative
control,after-render,2.496,self
control,after-render,2003.808,cumulative
control,paint,0.054,self
control,paint,2003.862,cumulative
control,load,514.312,self
control,load,514.312,cumulative
control,boot,199.211,self
control,boot,713.523,cumulative
control,transition,238.64,self
control,transition,952.163,cumulative
control,render,597.875,self
control,render,1550.038,cumulative
control,lazy-render,434.517,self
control,lazy-render,1984.555,cumulative
control,after-render,1.835,self
control,after-render,1986.39,cumulative
control,paint,0.031,self
control,paint,1986.421,cumulative
control,load,540.654,self
control,load,540.654,cumulative
control,boot,195.247,self
control,boot,735.901,cumulative
control,transition,243.409,self
control,transition,979.31,cumulative
control,render,607.166,self
control,render,1586.476,cumulative
control,lazy-render,418.162,self
control,lazy-render,2004.638,cumulative
control,after-render,1.954,self
control,after-render,2006.592,cumulative
control,paint,0.032,self
control,paint,2006.624,cumulative
control,load,533.701,self
control,load,533.701,cumulative
control,boot,213.773,self
control,boot,747.474,cumulative
control,transition,241.462,self
control,transition,988.936,cumulative
control,render,577.27,self
control,render,1566.206,cumulative
control,lazy-render,427.302,self
control,lazy-render,1993.508,cumulative
control,after-render,2.02,self
control,after-render,1995.528,cumulative
control,paint,0.031,self
control,paint,1995.559,cumulative
control,load,522.838,self
control,load,522.838,cumulative
control,boot,206.604,self
control,boot,729.442,cumulative
control,transition,239.811,self
control,transition,969.253,cumulative
control,render,583.651,self
control,render,1552.904,cumulative
control,lazy-render,410.675,self
control,lazy-render,1963.579,cumulative
control,after-render,1.92,self
control,after-render,1965.499,cumulative
control,paint,0.033,self
control,paint,1965.532,cumulative
control,load,541.901,self
control,load,541.901,cumulative
control,boot,203.188,self
control,boot,745.089,cumulative
control,transition,233.287,self
control,transition,978.376,cumulative
control,render,598.485,self
control,render,1576.861,cumulative
control,lazy-render,392.184,self
control,lazy-render,1969.045,cumulative
control,after-render,1.99,self
control,after-render,1971.035,cumulative
control,paint,0.031,self
control,paint,1971.066,cumulative
control,load,516.626,self
control,load,516.626,cumulative
control,boot,207.342,self
control,boot,723.968,cumulative
control,transition,233.679,self
control,transition,957.647,cumulative
control,render,600.492,self
control,render,1558.139,cumulative
control,lazy-render,439.944,self
control,lazy-render,1998.083,cumulative
control,after-render,2.171,self
control,after-render,2000.254,cumulative
control,paint,0.031,self
control,paint,2000.285,cumulative
control,load,521.687,self
control,load,521.687,cumulative
control,boot,197.049,self
control,boot,718.736,cumulative
control,transition,235.421,self
control,transition,954.157,cumulative
control,render,597.562,self
control,render,1551.719,cumulative
control,lazy-render,413.354,self
control,lazy-render,1965.073,cumulative
control,after-render,1.943,self
control,after-render,1967.016,cumulative
control,paint,0.033,self
control,paint,1967.049,cumulative
control,load,525.626,self
control,load,525.626,cumulative
control,boot,200.635,self
control,boot,726.261,cumulative
control,transition,233.46,self
control,transition,959.721,cumulative
control,render,586.862,self
control,render,1546.583,cumulative
control,lazy-render,436.822,self
control,lazy-render,1983.405,cumulative
