set,ms,type
control,1966.5,duration
control,98.838,compile
control,1512.723,js
control,1984.726,duration
control,97.316,compile
control,1549.373,js
control,2081.986,duration
control,99.709,compile
control,1564.904,js
control,2000.003,duration
control,97.39,compile
control,1491.54,js
control,1960.446,duration
control,96.936,compile
control,1537.933,js
control,1973.735,duration
control,95.842,compile
control,1490.573,js
control,1967.524,duration
control,95.795,compile
control,1611.319,js
control,2144.791,duration
control,96.185,compile
control,1507.475,js
control,2003.469,duration
control,96.316,compile
control,1494.912,js
control,1973.919,duration
control,95.941,compile
control,1486.474,js
control,1961.08,duration
control,97.509,compile
control,1549.842,js
control,1988.958,duration
control,96.813,compile
control,1549.657,js
control,1986.928,duration
control,94.487,compile
control,1490.796,js
control,1970.732,duration
control,97.686,compile
control,1535.687,js
control,1975.382,duration
control,97.936,compile
control,1555.977,js
control,1992.049,duration
control,96.906,compile
control,1497.04,js
control,1979.853,duration
control,116.118,compile
control,1558.32,js
control,2044.987,duration
control,96.626,compile
control,1485.691,js
control,1957.475,duration
control,96.42,compile
control,1484.153,js
control,1950.631,duration
control,94.778,compile
control,1538.349,js
control,1974.596,duration
control,99.089,compile
control,1475.878,js
control,1962.434,duration
control,94.636,compile
control,1485.61,js
control,1962.133,duration
control,110.709,compile
control,1610.214,js
control,2081.251,duration
control,102.348,compile
control,1580.63,js
control,2017.843,duration
control,94.769,compile
control,1482.591,js
control,1954.193,duration
control,94.808,compile
control,1471.818,js
control,1947.988,duration
